x position        y position        field value
    0.6        0.59        9.40651
    0.61        0.59        9.41033
    0.62        0.59        9.4146
    0.63        0.59        9.41932
    0.64        0.59        9.42451
    0.65        0.59        9.43016
    0.66        0.59        9.43629
    0.67        0.59        9.44289
    0.68        0.59        9.44997
    0.69        0.59        9.45755
    0.7        0.59        9.46562
    0.71        0.59        9.47419
    0.72        0.59        9.48327
    0.73        0.59        9.49287
    0.74        0.59        9.503
    0.75        0.59        9.51366
    0.76        0.59        9.52486
    0.77        0.59        9.53662
    0.78        0.59        9.54894
    0.79        0.59        9.56183
    0.8        0.59        9.5753
    0.81        0.59        9.58937
    0.82        0.59        9.60404
    0.83        0.59        9.61933
    0.84        0.59        9.63524
    0.85        0.59        9.65179
    0.86        0.59        9.66899
    0.87        0.59        9.68686
    0.88        0.59        9.7054
    0.89        0.59        9.72462
    0.9        0.59        9.74455
    0.91        0.59        9.7652
    0.92        0.59        9.78657
    0.93        0.59        9.80869
    0.94        0.59        9.83156
    0.95        0.59        9.85521
    0.96        0.59        9.87964
    0.97        0.59        9.90489
    0.98        0.59        9.93096
    0.99        0.59        9.95788
    1        0.59        9.98566
    0.51        0.6        9.38882
    0.52        0.6        9.38955
    0.53        0.6        9.3907
    0.54        0.6        9.39229
    0.55        0.6        9.39432
    0.56        0.6        9.39678
    0.57        0.6        9.39967
    0.58        0.6        9.40301
    0.59        0.6        9.40656
    0.6        0.6        9.41032
    0.61        0.6        9.41431
    0.62        0.6        9.41852
    0.63        0.6        9.42319
    0.64        0.6        9.42832
    0.65        0.6        9.43391
    0.66        0.6        9.43996
    0.67        0.6        9.44649
    0.68        0.6        9.4535
    0.69        0.6        9.461
    0.7        0.6        9.46898
    0.71        0.6        9.47747
    0.72        0.6        9.48647
    0.73        0.6        9.49598
    0.74        0.6        9.50601
    0.75        0.6        9.51657
    0.76        0.6        9.52768
    0.77        0.6        9.53933
    0.78        0.6        9.55155
    0.79        0.6        9.56433
    0.8        0.6        9.5777
    0.81        0.6        9.59165
    0.82        0.6        9.60621
    0.83        0.6        9.62138
    0.84        0.6        9.63717
    0.85        0.6        9.6536
    0.86        0.6        9.67068
    0.87        0.6        9.68842
    0.88        0.6        9.70684
    0.89        0.6        9.72594
    0.9        0.6        9.74575
    0.91        0.6        9.76627
    0.92        0.6        9.78752
    0.93        0.6        9.80952
    0.94        0.6        9.83227
    0.95        0.6        9.8558
    0.96        0.6        9.88013
    0.97        0.6        9.90526
    0.98        0.6        9.93122
    0.99        0.6        9.95803
    1        0.6        9.98572
    0.51        0.61        9.39276
    0.52        0.61        9.39346
    0.53        0.61        9.39459
    0.54        0.61        9.39615
    0.55        0.61        9.39814
    0.56        0.61        9.40056
    0.57        0.61        9.40341
    0.58        0.61        9.4067
    0.59        0.61        9.41043
    0.6        0.61        9.41436
    0.61        0.61        9.41852
    0.62        0.61        9.4229
    0.63        0.61        9.4275
    0.64        0.61        9.43256
    0.65        0.61        9.43808
    0.66        0.61        9.44406
    0.67        0.61        9.45051
    0.68        0.61        9.45744
    0.69        0.61        9.46485
    0.7        0.61        9.47275
    0.71        0.61        9.48115
    0.72        0.61        9.49005
    0.73        0.61        9.49946
    0.74        0.61        9.50939
    0.75        0.61        9.51985
    0.76        0.61        9.53084
    0.77        0.61        9.54239
    0.78        0.61        9.55449
    0.79        0.61        9.56715
    0.8        0.61        9.5804
    0.81        0.61        9.59423
    0.82        0.61        9.60866
    0.83        0.61        9.6237
    0.84        0.61        9.63937
    0.85        0.61        9.65567
    0.86        0.61        9.67261
    0.87        0.61        9.69022
    0.88        0.61        9.7085
    0.89        0.61        9.72746
    0.9        0.61        9.74713
    0.91        0.61        9.76751
    0.92        0.61        9.78863
    0.93        0.61        9.81049
    0.94        0.61        9.83311
    0.95        0.61        9.8565
    0.96        0.61        9.8807
    0.97        0.61        9.9057
    0.98        0.61        9.93154
    0.99        0.61        9.95822
    1        0.61        9.98578
    0.51        0.62        9.39717
    0.52        0.62        9.39784
    0.53        0.62        9.39895
    0.54        0.62        9.40047
    0.55        0.62        9.40243
    0.56        0.62        9.40481
    0.57        0.62        9.40762
    0.58        0.62        9.41086
    0.59        0.62        9.41453
    0.6        0.62        9.41864
    0.61        0.62        9.42296
    0.62        0.62        9.4275
    0.63        0.62        9.43226
    0.64        0.62        9.43725
    0.65        0.62        9.44269
    0.66        0.62        9.44859
    0.67        0.62        9.45496
    0.68        0.62        9.4618
    0.69        0.62        9.46912
    0.7        0.62        9.47692
    0.71        0.62        9.48522
    0.72        0.62        9.49402
    0.73        0.62        9.50332
    0.74        0.62        9.51314
    0.75        0.62        9.52349
    0.76        0.62        9.53436
    0.77        0.62        9.54579
    0.78        0.62        9.55776
    0.79        0.62        9.5703
    0.8        0.62        9.58341
    0.81        0.62        9.59711
    0.82        0.62        9.6114
    0.83        0.62        9.6263
    0.84        0.62        9.64183
    0.85        0.62        9.65798
    0.86        0.62        9.67478
    0.87        0.62        9.69224
    0.88        0.62        9.71037
    0.89        0.62        9.72918
    0.9        0.62        9.7487
    0.91        0.62        9.76893
    0.92        0.62        9.78989
    0.93        0.62        9.8116
    0.94        0.62        9.83406
    0.95        0.62        9.85731
    0.96        0.62        9.88135
    0.97        0.62        9.90621
    0.98        0.62        9.9319
    0.99        0.62        9.95844
    1        0.62        9.98585
    0.51        0.63        9.40205
    0.52        0.63        9.4027
    0.53        0.63        9.40378
    0.54        0.63        9.40527
    0.55        0.63        9.40719
    0.56        0.63        9.40953
    0.57        0.63        9.41229
    0.58        0.63        9.41548
    0.59        0.63        9.4191
    0.6        0.63        9.42315
    0.61        0.63        9.42763
    0.62        0.63        9.43233
    0.63        0.63        9.43724
    0.64        0.63        9.44238
    0.65        0.63        9.44774
    0.66        0.63        9.45356
    0.67        0.63        9.45983
    0.68        0.63        9.46658
    0.69        0.63        9.4738
    0.7        0.63        9.4815
    0.71        0.63        9.48969
    0.72        0.63        9.49838
    0.73        0.63        9.50757
    0.74        0.63        9.51727
    0.75        0.63        9.52749
    0.76        0.63        9.53824
    0.77        0.63        9.54953
    0.78        0.63        9.56137
    0.79        0.63        9.57377
    0.8        0.63        9.58674
    0.81        0.63        9.60029
    0.82        0.63        9.61444
    0.83        0.63        9.62919
    0.84        0.63        9.64455
    0.85        0.63        9.66055
    0.86        0.63        9.67719
    0.87        0.63        9.69448
    0.88        0.63        9.71245
    0.89        0.63        9.7311
    0.9        0.63        9.75045
    0.91        0.63        9.77051
    0.92        0.63        9.79131
    0.93        0.63        9.81284
    0.94        0.63        9.83514
    0.95        0.63        9.85822
    0.96        0.63        9.8821
    0.97        0.63        9.90679
    0.98        0.63        9.93231
    0.99        0.63        9.95869
    1        0.63        9.98593
    0.51        0.64        9.40741
    0.52        0.64        9.40804
    0.53        0.64        9.40909
    0.54        0.64        9.41055
    0.55        0.64        9.41243
    0.56        0.64        9.41473
    0.57        0.64        9.41744
    0.58        0.64        9.42058
    0.59        0.64        9.42414
    0.6        0.64        9.42813
    0.61        0.64        9.43254
    0.62        0.64        9.43739
    0.63        0.64        9.44245
    0.64        0.64        9.44773
    0.65        0.64        9.45323
    0.66        0.64        9.45896
    0.67        0.64        9.46514
    0.68        0.64        9.47179
    0.69        0.64        9.4789
    0.7        0.64        9.4865
    0.71        0.64        9.49457
    0.72        0.64        9.50314
    0.73        0.64        9.5122
    0.74        0.64        9.52178
    0.75        0.64        9.53186
    0.76        0.64        9.54248
    0.77        0.64        9.55363
    0.78        0.64        9.56532
    0.79        0.64        9.57757
    0.8        0.64        9.59039
    0.81        0.64        9.60378
    0.82        0.64        9.61777
    0.83        0.64        9.63235
    0.84        0.64        9.64755
    0.85        0.64        9.66338
    0.86        0.64        9.67984
    0.87        0.64        9.69696
